*******************************************************************************
Ephemeris / WWW_USER Mon Sep 26 22:38:00 2016 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: L2 (392)                        {source: L2_de431}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2018-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2022-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : KM-S                                                         
Output type     : LT CORRECTED cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Earth Mean Equator and Equinox of Reference Epoch            
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2458144.500000000, A.D. 2018-Jan-26 00:00:00.0000, -8.685548866285069E+07,  1.108241148566257E+08,  4.804296637167718E+07, -2.491831124489872E+01, -1.621976482740181E+01, -7.031210096371193E+00,
2458145.500000000, A.D. 2018-Jan-27 00:00:00.0000, -8.899485565557921E+07,  1.094056230690184E+08,  4.742805508314102E+07, -2.460284461735503E+01, -1.661484398460978E+01, -7.202479367050746E+00,
2458146.500000000, A.D. 2018-Jan-28 00:00:00.0000, -9.110664098495746E+07,  1.079532240479847E+08,  4.679844479622005E+07, -2.427986585287029E+01, -1.700463534299631E+01, -7.371456388056280E+00,
2458147.500000000, A.D. 2018-Jan-29 00:00:00.0000, -9.319020034079938E+07,  1.064673799651906E+08,  4.615433586145210E+07, -2.394948499506361E+01, -1.738901645176190E+01, -7.538088075041667E+00,
2458148.500000000, A.D. 2018-Jan-30 00:00:00.0000, -9.524489902715081E+07,  1.049485634825779E+08,  4.549593317708559E+07, -2.361181454210719E+01, -1.776786693647776E+01, -7.702322243587925E+00,
2458149.500000000, A.D. 2018-Jan-31 00:00:00.0000, -9.727011217203043E+07,  1.033972575711356E+08,  4.482344611051919E+07, -2.326696939238214E+01, -1.814106854131355E+01, -7.864107627822270E+00,
2458150.500000000, A.D. 2018-Feb-01 00:00:00.0000, -9.926522493238105E+07,  1.018139553260286E+08,  4.413708841813517E+07, -2.291506678815447E+01, -1.850850517132489E+01, -8.023393899052337E+00,
2458151.500000000, A.D. 2018-Feb-02 00:00:00.0000, -1.012296326940958E+08,  1.001991597780594E+08,  4.343707816352112E+07, -2.255622625798635E+01, -1.887006293497914E+01, -8.180131684387600E+00,
2458152.500000000, A.D. 2018-Feb-03 00:00:00.0000, -1.031627412670423E+08,  9.855338370146860E+07,  4.272363763409553E+07, -2.219056955879766E+01, -1.922563018635038E+01, -8.334272585050003E+00,
2458153.500000000, A.D. 2018-Feb-04 00:00:00.0000, -1.050639670751046E+08,  9.687714941812237E+07,  4.199699325617252E+07, -2.181822061822302E+01, -1.957509756617814E+01, -8.485769194035292E+00,
