*******************************************************************************
Ephemeris / WWW_USER Wed May  2 21:31:34 2018 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: James Webb Space Telescope (spacecraft) (-170) {source: jwst_2_out}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}
Output units    : KM-S
Output type     : LT CORRECTED cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF/J2000.0
Coordinate systm: Earth Mean Equator and Equinox of Reference Epoch
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2458874.500000000, A.D. 2020-Jan-26 00:00:00.0000, -8.576460661615585E+07,  1.111090365501499E+08,  4.838933847493672E+07, -2.526467001969114E+01, -1.615544610519319E+01, -7.062009955474998E+00,
2458875.500000000, A.D. 2020-Jan-27 00:00:00.0000, -8.793364472172198E+07,  1.096959176293061E+08,  4.777147146964040E+07, -2.494364906077988E+01, -1.655491470696239E+01, -7.240220299476047E+00,
2458876.500000000, A.D. 2020-Jan-28 00:00:00.0000, -9.007462321444443E+07,  1.082485458681050E+08,  4.713834285460913E+07, -2.461435595603236E+01, -1.694824655873595E+01, -7.415477868693618E+00,
2458877.500000000, A.D. 2020-Jan-29 00:00:00.0000, -9.218687055604185E+07,  1.067674285351142E+08,  4.649018855860384E+07, -2.427839727190453E+01, -1.733561274203434E+01, -7.587485129049840E+00,
2458878.500000000, A.D. 2020-Jan-30 00:00:00.0000, -9.426972983174936E+07,  1.052530837917615E+08,  4.582725002572471E+07, -2.393500368146502E+01, -1.771697819471989E+01, -7.757181957662842E+00,
2458879.500000000, A.D. 2020-Jan-31 00:00:00.0000, -9.632255885880882E+07,  1.037060400938922E+08,  4.514977381655711E+07, -2.358328675980654E+01, -1.809231693379733E+01, -7.924358365427966E+00,
2458880.500000000, A.D. 2020-Feb-01 00:00:00.0000, -9.834473012033421E+07,  1.021268356597243E+08,  4.445801121585963E+07, -2.322456161680460E+01, -1.846174962688177E+01, -8.088721847023056E+00,
2458881.500000000, A.D. 2020-Feb-02 00:00:00.0000, -1.003356305814032E+08,  1.005160180769194E+08,  4.375221788983748E+07, -2.285961076239314E+01, -1.882477720149220E+01, -8.249264045274485E+00,
2458882.500000000, A.D. 2020-Feb-03 00:00:00.0000, -1.022946620527977E+08,  9.887414343770725E+07,  4.303265346590407E+07, -2.248752069300625E+01, -1.918060818724814E+01, -8.406978920679652E+00,
2458883.500000000, A.D. 2020-Feb-04 00:00:00.0000, -1.042212402732158E+08,  9.720177662301321E+07,  4.229958138583323E+07, -2.210837823123327E+01, -1.952983976227980E+01, -8.561659251719984E+00,
2458884.500000000, A.D. 2020-Feb-05 00:00:00.0000, -1.061147954028872E+08,  9.549948971012239E+07,  4.155326825669115E+07, -2.172262173709596E+01, -1.987339490087966E+01, -8.713306592901684E+00,
2458885.500000000, A.D. 2020-Feb-06 00:00:00.0000, -1.079747716208612E+08,  9.376786300396885E+07,  4.079398411817347E+07, -2.133113478782827E+01, -2.020999097968676E+01, -8.862119757215559E+00,
2458886.500000000, A.D. 2020-Feb-07 00:00:00.0000, -1.098006262349104E+08,  9.200748319194917E+07,  4.002200154366747E+07, -2.093296076346031E+01, -2.053868614080262E+01, -9.007240777367635E+00,
2458887.500000000, A.D. 2020-Feb-08 00:00:00.0000, -1.115918314289796E+08,  9.021894349713121E+07,  3.923759586554991E+07, -2.052864091818976E+01, -2.086104633628592E+01, -9.149349932668416E+00,
2458888.500000000, A.D. 2020-Feb-09 00:00:00.0000, -1.133478712684044E+08,  8.840284359240231E+07,  3.844104477974308E+07, -2.011916939618214E+01, -2.117716296569304E+01, -9.288702724184326E+00,
2458889.500000000, A.D. 2020-Feb-10 00:00:00.0000, -1.150682457523600E+08,  8.655978780875398E+07,  3.763262801234397E+07, -1.970338612771048E+01, -2.148566293659485E+01, -9.424371919917474E+00,
2458890.500000000, A.D. 2020-Feb-11 00:00:00.0000, -1.167524672957470E+08,  8.469038736911988E+07,  3.681262786983269E+07, -1.928224262274793E+01, -2.178632037907329E+01, -9.556534311892602E+00,
2458891.500000000, A.D. 2020-Feb-12 00:00:00.0000, -1.184000645692366E+08,  8.279525665244451E+07,  3.598132794823723E+07, -1.885550344599664E+01, -2.208093421664091E+01, -9.685603560377583E+00,
2458892.500000000, A.D. 2020-Feb-13 00:00:00.0000, -1.200105812959084E+08,  8.087501838660623E+07,  3.513901513382532E+07, -1.842375046558811E+01, -2.236796714402700E+01, -9.812090040986597E+00,
2458893.500000000, A.D. 2020-Feb-14 00:00:00.0000, -1.215835729974449E+08,  7.893029913044035E+07,  3.428597738051786E+07, -1.798715986172888E+01, -2.264717927227336E+01, -9.934194284299929E+00,
2458894.500000000, A.D. 2020-Feb-15 00:00:00.0000, -1.231186131157570E+08,  7.696173147441241E+07,  3.342250507699439E+07, -1.754524509209231E+01, -2.291981316442629E+01, -1.005281305793522E+01,
2458895.500000000, A.D. 2020-Feb-16 00:00:00.0000, -1.246152837575177E+08,  7.496995590999822E+07,  3.254889123734992E+07, -1.709921373240204E+01, -2.318468921193513E+01, -1.016845516441762E+01,
2458896.500000000, A.D. 2020-Feb-17 00:00:00.0000, -1.260731826283348E+08,  7.295561300733593E+07,  3.166542858404697E+07, -1.664790361785711E+01, -2.344219235515146E+01, -1.028136213546687E+01,
2458897.500000000, A.D. 2020-Feb-18 00:00:00.0000, -1.274919198367751E+08,  7.091935310556653E+07,  3.077241371165767E+07, -1.619206691721880E+01, -2.369207006678803E+01, -1.039005789618433E+01,
2458898.500000000, A.D. 2020-Feb-19 00:00:00.0000, -1.288711172685735E+08,  6.886182925458756E+07,  2.987014383465732E+07, -1.573233265244050E+01, -2.393469370787298E+01, -1.049502474267522E+01,
2458899.500000000, A.D. 2020-Feb-20 00:00:00.0000, -1.302104089689818E+08,  6.678369236591683E+07,  2.895891462549482E+07, -1.526856376898734E+01, -2.416904672652312E+01, -1.059753942492635E+01,
