*******************************************************************************
Ephemeris / WWW_USER Fri May 19 11:14:11 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: James Webb Space Telescope (spacecraft) (-170) {source: JWST_merged}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2021-Dec-26 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Oct-03 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : LT CORRECTED cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2459599.500000000, A.D. 2022-Jan-20 00:00:00.0000, -7.294549968047152E+07,  1.187357836815849E+08,  5.100770417767176E+07, -2.652573605820841E+01, -1.343441511594045E+01, -5.815877196390846E+00,
2459600.500000000, A.D. 2022-Jan-21 00:00:00.0000, -7.522597069109942E+07,  1.175562768002727E+08,  5.049744629771579E+07, -2.626167873223964E+01, -1.386819955852940E+01, -5.995355001976866E+00,
2459601.500000000, A.D. 2022-Jan-22 00:00:00.0000, -7.748328710402718E+07,  1.163395024257948E+08,  4.997176100878008E+07, -2.598976213969828E+01, -1.429707699979764E+01, -6.172985128477104E+00,
2459602.500000000, A.D. 2022-Jan-23 00:00:00.0000, -7.971677329708350E+07,  1.150858875903160E+08,  4.943081029201602E+07, -2.571006594891988E+01, -1.472097609799045E+01, -6.348712649852060E+00,
2459603.500000000, A.D. 2022-Jan-24 00:00:00.0000, -8.192576072629267E+07,  1.137958657606881E+08,  4.887476067895220E+07, -2.542267428938584E+01, -1.513981843813453E+01, -6.522488929583812E+00,
2459604.500000000, A.D. 2022-Jan-25 00:00:00.0000, -8.410961162069675E+07,  1.124698849422420E+08,  4.830378523090982E+07, -2.512904632183034E+01, -1.555308653612462E+01, -6.694140939188387E+00,
2459605.500000000, A.D. 2022-Jan-26 00:00:00.0000, -8.626774453330919E+07,  1.111084152661502E+08,  4.771806479256851E+07, -2.482653527839011E+01, -1.596156584812135E+01, -6.863869390924629E+00,
2459606.500000000, A.D. 2022-Jan-27 00:00:00.0000, -8.839941926121508E+07,  1.097118820033692E+08,  4.711777002956957E+07, -2.451660398867123E+01, -1.636472882492804E+01, -7.031502295742955E+00,
2459607.500000000, A.D. 2022-Jan-28 00:00:00.0000, -9.050399896333990E+07,  1.082807483800131E+08,  4.650308397388302E+07, -2.419935065233575E+01, -1.676248550343436E+01, -7.196993680916024E+00,
2459608.500000000, A.D. 2022-Jan-29 00:00:00.0000, -9.258085523484831E+07,  1.068154855784458E+08,  4.587419363888823E+07, -2.387487372093906E+01, -1.715474068071487E+01, -7.360297666941560E+00,
2459609.500000000, A.D. 2022-Jan-30 00:00:00.0000, -9.462936822278932E+07,  1.053165730814419E+08,  4.523129000867137E+07, -2.354327291186894E+01, -1.754139933060851E+01, -7.521369670530955E+00,
2459610.500000000, A.D. 2022-Jan-31 00:00:00.0000, -9.664892692487085E+07,  1.037844985258112E+08,  4.457456774325768E+07, -2.320465192253020E+01, -1.792236544611275E+01, -7.680166157514638E+00,
2459611.500000000, A.D. 2022-Feb-01 00:00:00.0000, -9.863892952815972E+07,  1.022197578950248E+08,  4.390422533849617E+07, -2.285911474401706E+01, -1.829754000296500E+01, -7.836643148439725E+00,
2459612.500000000, A.D. 2022-Feb-02 00:00:00.0000, -1.005987824246069E+08,  1.006228559472551E+08,  4.322046510916540E+07, -2.250676497197488E+01, -1.866682722734028E+01, -7.990756936317341E+00,
2459613.500000000, A.D. 2022-Feb-03 00:00:00.0000, -1.025279017544860E+08,  9.899430536959918E+07,  4.252349299123147E+07, -2.214770581652470E+01, -1.903013262240365E+01, -8.142468452615644E+00,
2459614.500000000, A.D. 2022-Feb-04 00:00:00.0000, -1.044257124043343E+08,  9.733462701267681E+07,  4.181351828806756E+07, -2.178204601598165E+01, -1.938736205653897E+01, -8.291734178555462E+00,
2459615.500000000, A.D. 2022-Feb-05 00:00:00.0000, -1.062916489963703E+08,  9.564435001236656E+07,  4.109075442061428E+07, -2.140989722870343E+01, -1.973842049477918E+01, -8.438507931085518E+00,
2459616.500000000, A.D. 2022-Feb-06 00:00:00.0000, -1.081251553485556E+08,  9.392401123917660E+07,  4.035541815318263E+07, -2.103136414562100E+01, -2.008322306260852E+01, -8.582756492737049E+00,
2459617.500000000, A.D. 2022-Feb-07 00:00:00.0000, -1.099256848012506E+08,  9.217415507472736E+07,  3.960772950393333E+07, -2.064656204925495E+01, -2.042167902058695E+01, -8.724435211293327E+00,
2459618.500000000, A.D. 2022-Feb-08 00:00:00.0000, -1.116927003242925E+08,  9.039533368558083E+07,  3.884791265888354E+07, -2.025560215708218E+01, -2.075370328705931E+01, -8.863505073958057E+00,
2459619.500000000, A.D. 2022-Feb-09 00:00:00.0000, -1.134256753436557E+08,  8.858810619584271E+07,  3.807619380743022E+07, -1.985860078364431E+01, -2.107921349789768E+01, -8.999930624155276E+00,
2459620.500000000, A.D. 2022-Feb-10 00:00:00.0000, -1.151240926497197E+08,  8.675303899808818E+07,  3.729280333946219E+07, -1.945567497730255E+01, -2.139812854315753E+01, -9.133675243781353E+00,
